participant_idx,trial_number,condition,reaction_time,movement_time,first_cohort_n50,unnamed_1,unnamed_2,unnamed_3,unnamed_4,apen_cursor_cursor_horizontal_motion,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,apen_cursor_cursor_vertical_motion,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10
NaN,NaN,NaN,NaN,NaN,S35,F,0.60029,0.56255279,0.58900871,0.56531547,0.64609936,0.47938947,0.46629417,0.53414608,0.49438299,0.49677896,NaN,0.52213349,0.48405705,0.51196451,0.62601712,0.50484994,0.41739847,0.43600902,0.53370726,0.49312582,0.53816765
NaN,NaN,NaN,NaN,NaN,S36,F,0.42620061,0.51053129,0.43259417,0.54848586,0.46551405,0.43840058,0.50782612,0.43942331,0.41661836,0.502685,NaN,0.51259959,0.47648726,0.4132002,0.39631318,0.52571993,0.49815158,0.55861842,0.55401406,0.42314801,0.50079211
NaN,NaN,NaN,NaN,NaN,S37,F,0.62399164,0.51182973,0.52631929,0.51729395,0.48988114,0.60776939,0.5502752,0.52154208,0.53984609,0.53476713,NaN,0.51938802,0.65609634,0.62194977,0.5593382,0.5239516,0.39181806,0.49864789,0.54293112,0.51250382,0.51416866
NaN,NaN,NaN,NaN,NaN,S38,F,0.46826237,0.61233361,0.51691699,0.59653374,0.54729244,0.51144954,0.48515432000000003,0.44385397,0.4192537,0.49525342,NaN,0.3933244,0.52103871,0.52481811,0.52490704,0.58502441,0.55647285,0.47145971,0.51062131,0.51582438,0.57316219
NaN,NaN,NaN,NaN,NaN,S39,F,0.59582595,0.51230103,0.48608677,0.56197007,0.52937918,0.5068632,0.57116908,0.48900399,0.46791205,0.55232969,NaN,0.48623092,0.56541293,0.49035961,0.54934247,0.49708512,0.5837573,0.59044003,0.54820913,0.45368747,0.51226336
NaN,NaN,NaN,NaN,NaN,S40,F,0.59578475,0.52836863,0.54819204,0.53319717,0.50140199,0.60417161,0.47491012,0.4844037,0.51527043,0.54460107,NaN,0.47831221,0.51469542,0.4809822,0.48983556,0.61178374,0.52387251,0.53255533,0.44388582,0.52376938,0.4577182
NaN,NaN,NaN,NaN,NaN,S41,F,0.42183889,0.44173112,0.41311567,0.4431058,0.48256186,0.4506267,0.37792556,0.42244156,0.43964787,0.39601613,NaN,0.50286131,0.49104794,0.42928228,0.50797179,0.44781776,0.43793994,0.39257555,0.38533857,0.41574212,0.41339507
NaN,NaN,NaN,NaN,NaN,S42,F,0.60000548,0.62015843,0.60461318,0.49525377,0.53925202,0.56101088,0.51631145,0.42397122,0.50761634,0.5040472,NaN,0.43226304,0.39986456,0.52695867,0.49988228,0.4893234,0.40235162,0.4801812,0.41004128,0.5368089,0.42309128
NaN,NaN,NaN,NaN,NaN,S43,F,0.41559087,0.51949664,0.53141993,0.42427071,0.48962012,0.52043367,0.63155015,0.48233995,0.4022708,0.50293548,NaN,0.51622045,0.59688008,0.4953042,0.43764184,0.53866558,0.45306178,0.53600092,0.40432716,0.43260365,0.50657848
NaN,NaN,NaN,NaN,NaN,S44,F,0.59726452,0.55490424,0.50207366,0.56336216,0.5410073,0.58347112,0.43351732,0.43067249,0.5903699,0.46344571,NaN,0.45821426,0.54836192,0.46874024,0.48360007,0.53295851,0.509413,0.4999074,0.62511155,0.55383891,0.48272831
NaN,NaN,NaN,NaN,NaN,S45,F,0.62300501,0.53437605,0.49422361,0.62969992,0.55298085,0.43352867,0.53005142,0.54354699,0.57849602,0.56501878,NaN,0.47774426,0.53213273,0.5020394,0.58508258,0.39293036,0.44592062,0.43654735,0.59333566,0.54098121,0.48144484
NaN,NaN,NaN,NaN,NaN,S46,F,0.53654868,0.58235315,0.51162446,0.50175981,0.52124276,0.55029901,0.56175204,0.584192,0.50903137,0.48904768,NaN,0.42537067,0.50985906,0.50058868,0.56977676,0.52119555,0.48891856,0.58568437,0.52584763,0.58845698,0.49991622
NaN,NaN,NaN,NaN,NaN,S47,F,0.59853794,0.55145147,0.58313573,0.48332777,0.48758151,0.49947075,0.47441368,0.44317535,0.5318372,0.54107637,NaN,0.47953624,0.51059253,0.46691452,0.43879638,0.56649727,0.40698302,0.5226922,0.42448674,0.50651589,0.40616975
NaN,NaN,NaN,NaN,NaN,S48,F,0.48954724,0.48966432,0.48979784,0.46731917,0.5838852,0.55279418,0.515475,0.61268745,0.54249811,0.52592603,NaN,0.41656853,0.46628111,0.591196,0.55740144,0.48103213,0.54134902,0.58153951,0.53732551,0.52479246,0.4921629
NaN,NaN,NaN,NaN,NaN,S49,F,0.55103127,0.56754898,0.57419463,0.58855881,0.52795237,0.62447405,0.48402169,0.53241745,0.57403911,0.57084577,NaN,0.55271897,0.52574612,0.47674388,0.53603634,0.48713213,0.58420221,0.60609691,0.64054984,0.46457311,0.61877903
NaN,NaN,NaN,NaN,NaN,S50,F,0.57979547,0.53503088,0.60371236,0.64319352,0.59936878,0.44997717,0.54649204,0.49089815,0.53043833,0.49433022,NaN,0.56674987,0.55733987,0.62102371,0.54304776,0.54346361,0.58662613,0.53484762,0.45979882,0.62895946,0.47792096
