participant_idx,trial_number,condition,reaction_time,movement_time,second_cohort_n77,unnamed_1,unnamed_2,unnamed_3,handtarget_distance_cm,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,handtarget_lag_ms,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,residual_handtarget_distance_cm_after_lag_compensation,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10
NaN,NaN,NaN,NaN,NaN,S35,F,2.2096625,1.9615166,1.6728398,1.6624115,1.8013317,1.9498859,1.9129698,1.5228086,1.7339206,2.2389163,NaN,78,79,75,53,69,64,67,60,48,71,NaN,1.7877206,1.5578311,1.2908486,1.340959,1.511142,1.6279819,1.6155802,1.2644767,1.6111561,1.9021044
NaN,NaN,NaN,NaN,NaN,S36,F,1.1965578,1.9645613,1.4035039,1.37249,1.6889514,1.4119196,1.2310879,1.0286827,1.2614715,1.2307575,NaN,17,50,45,49,45,43,42,36,24,22,NaN,1.1807477,2.0112605,1.2020064,1.1313267,1.5647172,1.3037482,1.0457097,0.84554,1.2087651,1.1878796
NaN,NaN,NaN,NaN,NaN,S37,F,1.8738441,1.8981988,1.6622152,1.6215651,1.5122717,1.7985413,1.6306473,1.4618157,2.0339676,1.8498051,NaN,6,16,41,27,32,47,34,18,43,36,NaN,1.8747027,1.8684834,1.5314571,1.5417781,1.4416091,1.6442012,1.5405289,1.4275267,2.086297,1.7303428
NaN,NaN,NaN,NaN,NaN,S38,F,1.9765371,1.5367562,1.9383871,1.2796289,1.6671122,1.5601172,1.5947535,2.113536,1.8826251,1.5855704,NaN,46,28,36,29,28,54,35,60,34,38,NaN,1.8520411,1.4664789,1.8599032,1.2195464,1.5813038,1.3473967,1.5346461,2.0263907,1.879196,1.4652824
NaN,NaN,NaN,NaN,NaN,S39,F,2.0813443,1.8245023,1.8913865,1.4715704,1.7348044,1.8366831,1.8825695,1.5716679,1.4598977,1.7265529,NaN,45,48,65,54,58,76,81,50,53,56,NaN,1.969349,1.718739,1.6699629,1.2150367,1.5237159,1.4250551,1.5066797,1.4009898,1.2309395,1.5460709
NaN,NaN,NaN,NaN,NaN,S40,F,1.7846662,1.5211872,1.4515275,1.5324037,1.667805,1.4978333,1.3922019,1.3264785,1.379239,1.4336505,NaN,44,31,47,19,46,59,20,50,16,37,NaN,1.6895293,1.4342218,1.3129915,1.4929194,1.5432897,1.2298298,1.3356476,1.0904865,1.3541062,1.3289098
NaN,NaN,NaN,NaN,NaN,S41,F,1.8913278,1.8003166,1.8044731,1.5149997,1.6741864,1.6962217,1.8265186,1.2894543,1.4392649,1.7224098,NaN,80,46,64,58,57,61,70,53,48,61,NaN,1.3593297,1.6147343,1.5170835,1.2441437,1.4265224,1.4984806,1.5134823,1.0117029,1.2089635,1.3890442
NaN,NaN,NaN,NaN,NaN,S42,F,1.4634147,1.8133445,1.3941311,1.3332988,1.3522718,1.7351842,1.4522416,1.8241957,1.7510256,1.4585423,NaN,46,60,54,43,41,69,63,63,73,59,NaN,1.3134991,1.4998873,1.1267717,1.1501341,1.2403849,1.4038504,1.1144177,1.531111,1.3368093,1.1743455
NaN,NaN,NaN,NaN,NaN,S43,F,1.3424312,1.4148481,1.2896926,1.2338836,1.2653709,1.1685355,1.3654429,1.5203391,1.1601353,1.4827186,NaN,52,57,28,24,34,32,56,46,46,58,NaN,1.0847489,1.1370584,1.1987668,1.1609246,1.1111495,1.079547,1.050735,1.3201564,0.95733487,1.1695116
NaN,NaN,NaN,NaN,NaN,S44,F,1.3902421,1.4568761,1.3436498,1.464278,1.1960321,1.1995587,1.6509964,1.1076056,1.4995191,1.2363395,NaN,47,40,41,40,35,30,60,45,52,48,NaN,1.2021766,1.2529308,1.2060126,1.3017852,1.0621431,1.1227728,1.331329,0.89790063,1.2855953,1.002754
NaN,NaN,NaN,NaN,NaN,S45,F,3.7502289,2.8210359,2.0560374,2.1629304,1.8909796,1.860728,2.0273364,1.9527908,1.7968889,1.7889397,NaN,51,50,-3,39,15,51,8,23,11,35,NaN,3.7268281,2.73717,2.099778,2.0417923,1.8637403,1.7098062,2.0564224,1.940591,1.7716612,1.7230627
NaN,NaN,NaN,NaN,NaN,S46,F,2.000027,1.7997417,1.7519033,1.440454,1.6571058,1.5370036,1.7586869,1.9852305,1.6406498,1.4571228,NaN,63,67,49,52,82,74,91,100,65,65,NaN,1.6710875,1.535839,1.541116,1.2133425,1.1439279,1.02378,1.0500897,1.4374053,1.2946484,1.0094469
