participant_idx,trial_number,condition,reaction_time,movement_time,second_cohort_n77,unnamed_1,unnamed_2,unnamed_3,handtarget_distance_cm,unnamed_5,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,handtarget_lag_ms,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,residual_handtarget_distance_cm_after_lag_compensation,unnamed_27,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10
NaN,NaN,NaN,NaN,NaN,S64,F,1.6445295,2.115908,1.4879947,1.5109087,1.7461691,1.5826531,1.4599257,1.7697931,1.696433,2.1516567,NaN,45,61,50,27,70,47,63,81,68,78,NaN,1.478075,1.8431462,1.2570974,1.4157595,1.2853844,1.4218182,1.0016192,1.1667128,1.3454872,1.8405959
NaN,NaN,NaN,NaN,NaN,S65,F,2.4252988,1.915196,2.0337673,2.3730058,2.2075219,2.0961698,1.7124878,1.8632156,2.3499388,2.182913,NaN,88,61,40,79,69,81,49,57,77,62,NaN,1.926734,1.649279,1.925045,2.0753211,1.9304009,1.6600595,1.5706962,1.6438655,2.0333709,1.888449
NaN,NaN,NaN,NaN,NaN,S66,F,1.8072662,1.4572847,1.6562888,1.4946298,1.7625486,1.5246641,1.420058,1.6903588,1.3577934,1.3748866,NaN,54,45,58,49,83,67,50,74,55,43,NaN,1.5873136,1.289604,1.3015272,1.3129271,1.2119714,1.1429581,1.1947158,1.2471092,1.0570123,1.2076019
NaN,NaN,NaN,NaN,NaN,S67,F,1.7674407,1.622961,1.6766588,1.9149822,1.7792625,1.5298198,1.5942968,1.8492087,1.4634014,1.5415186,NaN,47,21,78,57,72,60,53,76,53,58,NaN,1.6071587,1.5572234,1.2560948,1.6504149,1.4022393,1.2802613,1.390451,1.6403429,1.2334959,1.24138
NaN,NaN,NaN,NaN,NaN,S68,F,3.3203136,2.0192482,2.4182941,2.3123111,2.762474,2.1186014,2.4754639,2.1000473,2.3078879,2.9848954,NaN,122,77,111,99,93,69,84,52,108,82,NaN,2.7853816,1.6504787,1.8925994,1.8473696,2.56527,1.8388268,2.2838869,1.8837552,1.7184262,2.6834774
NaN,NaN,NaN,NaN,NaN,S69,F,1.6248922,2.5504778,1.6031524,1.8955716,2.0094653,2.0617137,1.691318,1.9460602,1.9902628,2.1731226,NaN,61,89,61,80,83,93,77,82,85,91,NaN,1.3826951,2.2610278,1.3086721,1.4245718,1.6350573,1.4715807,1.2720278,1.3259628,1.463308,1.5616282
NaN,NaN,NaN,NaN,NaN,S70,F,1.2811037,1.1402229,0.95154569,1.3360799,1.1276047,0.97851814,1.1037585,1.1499775,1.1087332,0.97580765,NaN,48,40,34,47,28,29,44,39,38,35,NaN,1.1094563,0.99263565,0.78533273,1.1900584,1.0249057,0.9018397,0.84964133,0.93437964,0.98697108,0.80290532
NaN,NaN,NaN,NaN,NaN,S71,F,1.7941657,1.7429185,1.7695792,1.8988412,1.8017059,1.6886479,2.1595386,1.6677858,1.8254073,1.7687536,NaN,47,55,46,58,43,48,78,48,71,67,NaN,1.6345168,1.5408869,1.6197757,1.6755693,1.6803379,1.4842953,1.902813,1.4880251,1.4477165,1.4899067
NaN,NaN,NaN,NaN,NaN,S72,F,1.6808222,1.6581146,1.7650986,1.6427376,1.8901164,1.6370787,1.7780381,1.8424158,1.6095977,2.6564704,NaN,41,35,49,49,44,33,40,59,36,74,NaN,1.5380216,1.5772051,1.5675466,1.454118,1.7534749,1.560389,1.6395158,1.6465104,1.5141011,2.6759294
NaN,NaN,NaN,NaN,NaN,S73,F,1.6356523,1.458849,1.7722246,1.4770591,1.3693423,1.2547,1.4897528,1.2327002,1.2673579,1.5215399,NaN,-2,13,11,1,19,15,11,16,9,13,NaN,1.6561564,1.4404132,1.741897,1.4848683,1.3285219,1.2433013,1.4786366,1.2034928,1.2714711,1.4665161
NaN,NaN,NaN,NaN,NaN,S74,F,1.599714,1.4873791,1.4669697,1.3484942,1.3816898,1.4556972,1.3951868,1.2791007,1.4112669,1.3246193,NaN,43,54,40,41,50,35,49,46,54,53,NaN,1.4576833,1.3229288,1.3180728,1.2127344,1.1595983,1.3651313,1.1524694,1.1120646,1.1764703,1.0521299
NaN,NaN,NaN,NaN,NaN,S75,F,2.6862981,2.5475931,2.2037499,2.20718,2.3417145,1.8309734,2.1789876,2.3872097,2.2453735,1.9527692,NaN,123,120,111,109,106,88,88,101,107,85,NaN,1.9738474,1.7556406,1.3601571,1.3658507,1.5386326,1.2136536,1.7048483,2.0818397,1.486808,1.4861376
NaN,NaN,NaN,NaN,NaN,S76,F,1.9178994,1.8279222,1.8777942,1.5547653,1.9933687,1.8941122,1.4112858,1.9826154,1.7215039,1.74485,NaN,21,71,74,68,74,71,58,83,75,77,NaN,1.8520457,1.4488392,1.4955562,1.2275124,1.7586185,1.5625523,1.1005328,1.5544029,1.305313,1.3020021
NaN,NaN,NaN,NaN,NaN,S77,F,2.1581045,2.8159162,2.4176676,2.6329037,2.1475622,1.9528072,2.0251506,2.2207177,2.0700212,2.5474435,NaN,74,62,58,64,80,73,65,62,67,89,NaN,1.8394142,2.5950949,2.1992779,2.4582917,1.7150618,1.5398886,1.6973202,1.9529427,1.8132568,2.1336326
