participant_idx,trial_number,condition,reaction_time,movement_time,first_cohort_n50,unnamed_1,unnamed_2,unnamed_3,unnamed_4,mean_tan_velocity_of_cursor_cms,unnamed_6,unnamed_7,unnamed_8,unnamed_9,unnamed_10,unnamed_11,unnamed_12,unnamed_13,unnamed_14,unnamed_15,sd_tan_velocity_of_cursor_cms,unnamed_17,unnamed_18,unnamed_19,unnamed_20,unnamed_21,unnamed_22,unnamed_23,unnamed_24,unnamed_25,unnamed_26,number_of_submovement_per_trial,unnamed_28,unnamed_29,unnamed_30,unnamed_31,unnamed_32,unnamed_33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,Subjects,SEX,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10,NaN,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7,trial 8,trial 9,trial 10
NaN,NaN,NaN,NaN,NaN,S17,M,16.101816,16.147242,16.753744,14.780762,15.491221,15.722918,16.356488,16.637649,16.575126,15.49587,NaN,8.7667041,7.7454076,7.293499,6.8048788,7.4121273,6.5223582,6.6196718,8.4538166,8.957103,6.99771,NaN,70,61,56,61,68,67,80,74,71,67
NaN,NaN,NaN,NaN,NaN,S18,M,21.192542,19.933644,19.98685,18.013168,19.917924,18.174982,20.397297,19.452957,18.884378,19.792818,NaN,14.183838,11.013429,9.9680319,9.2656283,10.049148,10.671969,10.970161,12.92324,11.149489,10.855072,NaN,58,48,52,53,54,50,53,48,52,49
NaN,NaN,NaN,NaN,NaN,S19,M,16.386595,19.505627,17.780584,18.146765,17.064143,15.849899,17.91056,17.14705,17.964056,17.486297,NaN,9.8928488,11.896705,12.367791,11.875319,9.9092521,9.8801415,11.328397,9.7817547,10.213102,9.4978699,NaN,57,56,58,62,62,66,58,56,59,58
NaN,NaN,NaN,NaN,NaN,S20,M,20.324476,21.051462,20.860307,19.255619,19.968188,19.552454,19.288875,19.556201,19.210088,18.433161,NaN,9.8617567,11.862893,11.058672,10.458951,11.408352,9.8279848,9.001578,11.909799,9.8866893,8.4967108,NaN,68,63,70,61,67,63,62,58,56,65
NaN,NaN,NaN,NaN,NaN,S21,M,20.763979,20.359219,21.070488,19.163174,19.16967,19.837655,19.417438,18.652316,18.654069,19.669631,NaN,11.617993,14.855137,13.572182,10.690397,11.573135,11.289363,10.331175,9.3359692,11.080358,11.452036,NaN,50,58,54,56,51,55,45,50,46,50
NaN,NaN,NaN,NaN,NaN,S22,M,17.574793,19.46975,18.708904,17.856477,17.04697,18.276262,17.812251,18.482237,18.944102,18.999908,NaN,8.866555,11.280823,10.255217,8.7279945,8.6844926,11.814185,9.2668887,8.9758097,9.9007461,10.211364,NaN,65,66,67,67,67,60,61,67,62,64
NaN,NaN,NaN,NaN,NaN,S23,M,17.208919,18.263075,18.191269,18.273133,18.762419,21.120773,20.818372,19.290846,18.994439,18.26761,NaN,9.016322,9.7424542,10.004074,9.5281148,9.4017847,9.8740832,11.869039,9.2727838,9.7073246,8.6754734,NaN,48,50,46,49,54,50,49,51,50,49
NaN,NaN,NaN,NaN,NaN,S24,M,26.931206,23.623666,19.475768,21.131336,20.475981,19.197747,17.984789,20.742142,19.260953,19.633484,NaN,14.557807,14.25163,13.112014,13.252534,13.58284,12.181859,10.514882,12.126265,13.215815,10.649517,NaN,52,48,56,56,51,49,50,56,53,46
NaN,NaN,NaN,NaN,NaN,S25,M,23.233611,23.835611,20.265083,21.015915,18.9123,21.216066,19.675366,19.085222,20.975116,22.323131,NaN,12.397954,10.790425,9.9766624,10.158979,9.8200707,10.177669,9.3797454,11.039841,10.065634,13.028781,NaN,47,49,44,50,51,55,47,45,52,53
NaN,NaN,NaN,NaN,NaN,S26,F,18.68097,18.573339,19.036667,17.881598,19.189306,20.365827,18.934263,19.763247,20.202724,19.129785,NaN,9.0522809,8.7245302,9.1781897,10.28663,9.8309545,9.3884554,9.4825391,9.8764232,8.7536429,8.1903176,NaN,62,69,64,55,68,69,69,66,67,75
NaN,NaN,NaN,NaN,NaN,S27,F,18.516485,17.522912,17.626864,17.847269,17.731849,17.89924,17.533167,18.524836,18.772478,17.998882,NaN,9.6630197,9.4851127,7.4557777,9.0284973,9.8909769,9.43647,8.0744165,9.758592,11.076155,10.444591,NaN,58,62,71,63,57,64,63,62,63,53
NaN,NaN,NaN,NaN,NaN,S28,F,19.878608,20.063499,19.243727,19.503478,19.397797,17.5869,16.411117,19.231071,18.36892,18.120492,NaN,11.208493,11.761652,11.727243,10.654243,8.1295751,8.7911131,8.8547853,10.739608,9.1152197,8.9549734,NaN,60,57,61,55,64,61,56,55,61,61
NaN,NaN,NaN,NaN,NaN,S29,F,16.960632,18.219324,17.74323,18.163738,17.972251,17.52602,16.930637,17.991716,17.278528,17.523161,NaN,8.1770046,7.8789579,6.8959915,8.1690194,9.5043228,8.826083,7.1582527,8.8310433,8.5031066,8.7799543,NaN,65,60,73,60,57,60,70,60,65,56
NaN,NaN,NaN,NaN,NaN,S30,F,18.710734,17.618364,18.482017,19.231274,17.278305,16.822999,17.755839,17.759267,17.24633,16.973867,NaN,8.5222807,9.5458799,8.0889372,9.6241382,8.7802584,9.0346214,10.246222,9.0203286,8.7574472,8.5800504,NaN,56,59,55,62,55,55,52,57,58,55
NaN,NaN,NaN,NaN,NaN,S31,F,17.591469,17.172105,18.048591,17.392987,17.100491,17.826367,17.080823,15.87897,17.50736,15.761166,NaN,7.6730686,8.4548927,8.4074075,6.6788595,9.2640405,9.5248032,7.7470431,7.7537799,8.030556,6.9684701,NaN,68,70,68,70,76,76,77,78,74,77
NaN,NaN,NaN,NaN,NaN,S32,F,17.235852,18.552812,16.809371,18.320991,16.492002,16.855776,17.432535,17.015642,17.157011,16.061106,NaN,12.118027,10.531441,10.811509,11.224928,10.340753,10.997399,11.403046,12.25116,9.4093329,11.692939,NaN,59,59,60,58,61,57,58,61,57,60
NaN,NaN,NaN,NaN,NaN,S33,F,17.160151,19.607594,18.376521,19.575306,18.630777,19.433862,18.065513,20.112278,18.493967,18.43896,NaN,7.4395505,7.102956,6.907536,6.7599583,7.9601944,7.5914154,6.5060936,7.8435976,7.3907028,8.669001,NaN,58,59,57,57,51,53,59,48,56,53
NaN,NaN,NaN,NaN,NaN,S34,F,28.246408,25.112383,26.151207,20.531862,20.778003,19.87646,19.177607,20.64941,18.967214,20.022108,NaN,16.962959,14.911251,15.013873,10.697166,9.7686227,10.205184,8.111736,9.7397713,9.8889861,10.052522,NaN,66,63,58,59,66,56,70,71,63,59
NaN,NaN,NaN,NaN,NaN,S35,F,21.163627,22.010595,20.282377,20.232366,19.552738,21.702401,21.427854,19.928912,20.169348,19.596798,NaN,11.719287,12.036113,10.026925,11.501463,10.839182,10.098829,9.1973754,9.9332132,9.9847912,10.049687,NaN,53,50,57,55,59,58,60,54,60,53
NaN,NaN,NaN,NaN,NaN,S36,F,20.178312,20.006491,20.644062,19.323199,18.860356,18.688957,20.141619,18.704912,19.068395,19.57407,NaN,9.6945023,9.707234,9.0561737,8.648378,9.4252233,9.3886855,8.7937415,8.427667,9.8137777,8.6089932,NaN,51,51,47,52,49,51,49,47,47,52
NaN,NaN,NaN,NaN,NaN,S37,F,17.899766,17.965457,16.51369,16.026632,16.222496,17.143835,15.79623,15.904346,16.167517,15.920662,NaN,12.502639,9.2010431,9.5562333,8.7203262,8.9868602,7.6321684,8.7754317,9.4429959,8.32844,9.2614347,NaN,52,55,57,55,55,53,47,52,48,55
NaN,NaN,NaN,NaN,NaN,S38,F,16.787061,19.208497,18.465454,17.945287,17.006268,18.079441,18.196803,18.07177,17.962297,18.581826,NaN,7.3318023,8.5481651,7.6074202,8.9292274,8.0767718,9.6653729,9.7527369,8.4441964,8.6379019,8.3365218,NaN,61,56,57,52,64,53,58,63,60,55
NaN,NaN,NaN,NaN,NaN,S39,F,20.45973,19.99929,19.541472,19.524069,18.879666,18.806971,18.178653,18.953515,18.513266,19.162125,NaN,9.6341742,10.163618,9.091036,11.024121,8.6850757,9.6710503,8.8721228,9.9370342,10.254562,8.2432165,NaN,60,49,55,46,49,47,52,47,51,59
NaN,NaN,NaN,NaN,NaN,S40,F,18.844901,19.674165,20.813361,21.622388,20.636469,16.660466,17.427684,19.302764,18.706905,18.263031,NaN,10.404826,9.6334141,9.3860025,10.852069,12.081164,9.8213185,7.8891781,8.7387292,8.4055112,9.4356515,NaN,54,48,50,44,48,49,48,54,52,54
NaN,NaN,NaN,NaN,NaN,S41,F,18.71366,17.656336,17.611819,17.023112,16.38544,17.93269,16.857705,18.039726,17.926319,18.206923,NaN,10.628588,7.8783807,7.8307649,9.3766526,6.783903,8.3951722,7.9202369,7.4722932,8.0168761,6.6134266,NaN,67,66,75,66,71,70,75,71,75,71
NaN,NaN,NaN,NaN,NaN,S42,F,17.353152,17.443881,18.808401,18.359752,18.81624,20.017632,19.764209,20.499219,17.830156,17.435614,NaN,9.635569,11.861868,11.136251,10.3631,10.968667,10.95905,9.5262079,10.640652,10.116365,9.2360595,NaN,59,60,58,67,53,60,59,59,55,66
NaN,NaN,NaN,NaN,NaN,S43,F,16.752472,18.354831,16.941669,17.317961,18.192262,17.608738,18.786204,17.747321,17.829811,19.118602,NaN,8.003282,7.1042984,7.564598,7.4159549,8.425132,6.7667796,8.8214881,7.6945825,7.2561372,8.1019412,NaN,58,60,63,56,64,69,65,67,66,60
NaN,NaN,NaN,NaN,NaN,S44,F,20.553237,20.800368,19.488027,20.011654,19.051416,19.300825,18.125627,18.564906,17.718081,17.11905,NaN,12.6399,12.191002,14.835601,15.035077,12.893071,11.566167,11.036242,11.367522,11.699022,12.739083,NaN,60,61,56,58,58,55,55,55,54,47
NaN,NaN,NaN,NaN,NaN,S45,F,21.095024,19.582952,19.443385,17.714142,18.523161,17.331584,19.319033,17.990045,17.012714,17.280139,NaN,12.399399,11.075616,10.248653,10.409746,8.6038739,8.9854064,10.384524,10.140839,10.702314,7.9451326,NaN,55,56,49,51,60,55,52,58,48,55
NaN,NaN,NaN,NaN,NaN,S46,F,20.815176,25.102346,20.734833,20.204093,18.013444,20.386659,21.842157,20.902036,21.145017,21.675025,NaN,10.888049,18.334364,9.8915138,10.322089,11.320109,11.669918,13.096855,12.409709,12.772142,14.060365,NaN,38,51,54,49,45,48,47,47,41,46
NaN,NaN,NaN,NaN,NaN,S47,F,19.008993,20.536957,18.152319,19.826888,17.930433,18.924005,18.876505,18.918918,20.011732,18.836414,NaN,8.6136805,10.757888,7.6208076,8.6933279,8.0273887,7.3476331,7.0030017,8.4097831,7.9757961,8.3826719,NaN,51,56,56,67,63,63,69,62,60,61
NaN,NaN,NaN,NaN,NaN,S48,F,13.612914,14.517851,12.255472,14.059534,14.60048,16.251994,15.971196,15.909107,18.0683,16.731953,NaN,6.4885384,7.3815616,5.2836992,6.3372648,7.1555451,9.1283427,8.4760086,9.7250759,8.6093876,8.9305457,NaN,60,60,60,61,62,59,68,54,61,62
NaN,NaN,NaN,NaN,NaN,S49,F,19.161371,19.196448,17.903253,18.133695,20.021373,17.402732,18.42261,17.612818,17.335746,17.542534,NaN,13.057376,12.204569,11.353632,11.931066,10.529656,10.573964,12.019558,10.519084,9.9489981,11.293227,NaN,69,65,71,63,67,57,52,45,57,54
NaN,NaN,NaN,NaN,NaN,S50,F,17.331759,20.160695,19.331123,20.358113,18.140338,18.397673,19.51339,19.178999,19.678432,18.909066,NaN,12.151355,12.730198,11.673056,11.297336,12.333448,12.15274,12.439738,12.878448,10.660993,10.463291,NaN,63,67,68,70,62,71,73,70,64,76
